artist,title,year,source_rank
Deftones,Ohms,2020,33
Grimes,Miss Anthropocene,2020,34
Caribou,Suddenly,2020,35
Adrianne Lenker,instrumentals,2020,36
J Hus,Big Conspiracy,2020,37
The Strokes,The New Abnormal,2020,38
Sufjan Stevens,The Ascension,2020,39
Hayley Williams,Petals for Armor,2020,40
Lady Gaga,Chromatica,2020,41
Lianne La Havas,Lianne La Havas,2020,42
IDLES,Ultra Mono,2020,43
Jay Electronica,A Written Testimony,2020,44
Jason Isbell,Reunions,2020,45
Megan Thee Stallion,Good News,2020,46
Mac Miller,Circles,2020,47
The Microphones,Microphones in 2020,2020,48
Code Orange,Underneath,2020,49
Working Men's Club,Working Men's Club,2020,50
Little Simz,Sometimes I Might Be Introvert,2021,1
"Tyler, The Creator",CALL ME IF YOU GET LOST,2021,2
"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,2021,3
Japanese Breakfast,Jubilee,2021,4
Olivia Rodrigo,SOUR,2021,5
Low,HEY WHAT,2021,6
Dry Cleaning,New Long Leg,2021,7
Arlo Parks,Collapsed In Sunbeams,2021,8
Turnstile,GLOW ON,2021,9
Wolf Alice,Blue Weekend,2021,10
Jazmine Sullivan,Heaux Tales,2021,11
The Weather Station,Ignorance,2021,12
Self Esteem,Prioritise Pleasure,2021,13
Billie Eilish,Happier Than Ever,2021,14
Mdou Moctar,Afrique Victime,2021,15
Lil Nas X,MONTERO,2021,16
Lucy Dacus,Home Video,2021,17
Nick Cave & Warren Ellis,CARNAGE,2021,18
Adele,30,2021,19
Snail Mail,Valentine,2021,20
Squid,Bright Green Field,2021,21
The War on Drugs,I Don't Live Here Anymore,2021,22
St. Vincent,Daddy's Home,2021,23
"Black Country, New Road",For the first time,2021,24
Halsey,"If I Can't Have Love, I Want Power",2021,25
Dave,We're All Alone In This Together,2021,26
Cassandra Jenkins,An Overview On Phenomenal Nature,2021,27
PinkPantheress,to hell with it,2021,28
Julien Baker,Little Oblivions,2021,29
Lana Del Rey,Chemtrails Over the Country Club,2021,30
IDLES,CRAWLER,2021,31
Doja Cat,Planet Her,2021,32
black midi,Cavalcade,2021,33
Madlib,Sound Ancestors,2021,34
Vince Staples,Vince Staples,2021,35
Mach-Hommy,Pray For Haiti,2021,36
For Those I Love,For Those I Love,2021,37
L'Rain,Fatigue,2021,38
Amyl and the Sniffers,Comfort to Me,2021,39
Mogwai,As the Love Continues,2021,40
Silk Sonic,An Evening With Silk Sonic,2021,41
Sam Fender,Seventeen Going Under,2021,42
Clairo,Sling,2021,43
Sleaford Mods,Spare Ribs,2021,44
The Armed,ULTRAPOP,2021,45
SAULT,Nine,2021,46
Summer Walker,Still Over It,2021,47
The Bug,Fire,2021,48
Dean Blunt,BLACK METAL 2,2021,49
Kacey Musgraves,star-crossed,2021,50
Beyoncé,RENAISSANCE,2022,1
ROSALÍA,MOTOMAMI,2022,2
Wet Leg,Wet Leg,2022,3
Kendrick Lamar,Mr. Morale & The Big Steppers,2022,4
Big Thief,Dragon New Warm Mountain I Believe In You,2022,5
Alvvays,Blue Rev,2022,6
Fontaines D.C.,Skinty Fia,2022,7
Jockstrap,I Love You Jennifer B,2022,8
Weyes Blood,"And In The Darkness, Hearts Aglow",2022,9
Taylor Swift,Midnights,2022,10
Sudan Archives,Natural Brown Prom Queen,2022,11
The Smile,A Light for Attracting Attention,2022,12
Bad Bunny,Un Verano Sin Ti,2022,13
Angel Olsen,Big Time,2022,14
"Black Country, New Road",Ants From Up There,2022,15
Black Thought & Danger Mouse,Cheat Codes,2022,16
The Weeknd,Dawn FM,2022,17
Harry Styles,Harry's House,2022,18
Ethel Cain,Preacher's Daughter,2022,19
Alex G,God Save the Animals,2022,20
Soul Glo,Diaspora Problems,2022,21
Charli xcx,CRASH,2022,22
Yard Act,The Overload,2022,23
Arctic Monkeys,The Car,2022,24
Björk,Fossora,2022,25
Steve Lacy,Gemini Rights,2022,26
The 1975,Being Funny in a Foreign Language,2022,27
Pusha T,It's Almost Dry,2022,28
billy woods,Aethiopes,2022,29
Spoon,Lucifer on the Sofa,2022,30
Nilüfer Yanya,PAINLESS,2022,31
FKA twigs,CAPRISONGS,2022,32
Mitski,Laurel Hell,2022,33
Dry Cleaning,Stumpwork,2022,34
Charlotte Adigéry & Bolis Pupul,Topical Dancer,2022,35
Beach House,Once Twice Melody,2022,36
Beth Orton,Weather Alive,2022,37
Florence + the Machine,Dance Fever,2022,38
MUNA,MUNA,2022,39
Suede,Autofiction,2022,40
Yeah Yeah Yeahs,Cool It Down,2022,41
Sharon Van Etten,We've Been Going About This All Wrong,2022,42
Cate Le Bon,Pompeii,2022,43
Maggie Rogers,Surrender,2022,44
Horsegirl,Versions of Modern Performance,2022,45
Shygirl,Nymph,2022,46
Denzel Curry,Melt My Eyez See Your Future,2022,47
Nova Twins,Supernova,2022,48
Bartees Strange,Farm to Table,2022,49
SZA,SOS,2022,50
boygenius,the record,2023,1
Caroline Polachek,"Desire, I Want to Turn Into You",2023,2
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,3
Sufjan Stevens,Javelin,2023,4
Olivia Rodrigo,GUTS,2023,5
Mitski,The Land Is Inhospitable and So Are We,2023,6
Wednesday,Rat Saw God,2023,7
billy woods & Kenny Segal,Maps,2023,8
Lankum,False Lankum,2023,9
JPEGMAFIA & Danny Brown,SCARING THE HOES,2023,10
Young Fathers,Heavy Heavy,2023,11
ANOHNI and the Johnsons,My Back Was a Bridge for You to Cross,2023,12
Kelela,Raven,2023,13
PJ Harvey,I Inside the Old Year Dying,2023,14
Paramore,This Is Why,2023,15
Jessie Ware,That! Feels Good!,2023,16
Blur,The Ballad of Darren,2023,17
SZA,SOS,2023,18
Amaarae,Fountain Baby,2023,19
100 gecs,"10,000 gecs",2023,20
Slowdive,everything is alive,2023,21
Noname,Sundial,2023,22
Troye Sivan,Something to Give Each Other,2023,23
Sampha,Lahai,2023,24
Yves Tumor,"Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)",2023,25
Grian Chatten,Chaos For The Fly,2023,26
Fever Ray,Radical Romantics,2023,27
Kara Jackson,Why Does the Earth Give Us People to Love?,2023,28
Blondshell,Blondshell,2023,29
Ratboys,The Window,2023,30
Victoria Monét,JAGUAR II,2023,31
Julie Byrne,The Greater Wings,2023,32
Bully,Lucky for You,2023,33
Jason Isbell,Weathervanes,2023,34
Sofia Kourtesis,Madres,2023,35
Yo La Tengo,This Stupid World,2023,36
Armand Hammer,We Buy Diabetic Test Strips,2023,37
Sleep Token,Take Me Back to Eden,2023,38
Chappell Roan,The Rise and Fall of a Midwest Princess,2023,39
Lil Yachty,Let's Start Here.,2023,40
RAYE,My 21st Century Blues,2023,41
Zach Bryan,Zach Bryan,2023,42
Corinne Bailey Rae,Black Rainbows,2023,43
Yaeji,With A Hammer,2023,44
Romy,Mid Air,2023,45
Kali Uchis,Red Moon In Venus,2023,46
CMAT,"Crazymad, For Me",2023,47
Nourished By Time,Erotic Probiotic 2,2023,48
Janelle Monáe,The Age of Pleasure,2023,49
The Rolling Stones,Hackney Diamonds,2023,50
Charli xcx,BRAT,2024,1
Fontaines D.C.,Romance,2024,2
The Cure,Songs of a Lost World,2024,3
MJ Lenderman,Manning Fireworks,2024,4
Beyoncé,COWBOY CARTER,2024,5
Billie Eilish,HIT ME HARD AND SOFT,2024,6
Cindy Lee,Diamond Jubilee,2024,7
Waxahatchee,Tigers Blood,2024,8
Kendrick Lamar,GNX,2024,9
"Tyler, The Creator",CHROMAKOPIA,2024,10
Jessica Pratt,Here in the Pitch,2024,11
Sabrina Carpenter,Short n' Sweet,2024,12
Mannequin Pussy,I Got Heaven,2024,13
Kim Gordon,The Collective,2024,14
Mk.gee,Two Star & The Dream Police,2024,15
Adrianne Lenker,Bright Future,2024,16
Clairo,Charm,2024,17
English Teacher,This Could Be Texas,2024,18
Magdalena Bay,Imaginal Disk,2024,19
Nick Cave & The Bad Seeds,Wild God,2024,20
The Last Dinner Party,Prelude to Ecstasy,2024,21
Doechii,Alligator Bites Never Heal,2024,22
Vampire Weekend,Only God Was Above Us,2024,23
Beth Gibbons,Lives Outgrown,2024,24
Jack White,No Name,2024,25
Nala Sinephro,Endlessness,2024,26
Nilüfer Yanya,My Method Actor,2024,27
Father John Misty,Mahashmashana,2024,28
Blood Incantation,Absolute Elsewhere,2024,29
Jamie xx,In Waves,2024,30
Charli xcx,Brat and it's completely different but also still brat,2024,31
Mdou Moctar,Funeral for Justice,2024,32
Knocked Loose,You Won't Go Before You're Supposed To,2024,33
Amyl and the Sniffers,Cartoon Darkness,2024,34
St. Vincent,All Born Screaming,2024,35
SPRINTS,Letter To Self,2024,36
Cassandra Jenkins,"My Light, My Destroyer",2024,37
Laura Marling,Patterns in Repeat,2024,38
The Smile,Wall of Eyes,2024,39
Mount Eerie,Night Palace,2024,40
Arooj Aftab,Night Reign,2024,41
Chat Pile,Cool World,2024,42
Hurray for the Riff Raff,The Past Is Still Alive,2024,43
Ka,The Thief Next to Jesus,2024,44
Brittany Howard,What Now,2024,45
Ariana Grande,eternal sunshine,2024,46
ScHoolboy Q,BLUE LIPS,2024,47
Taylor Swift,THE TORTURED POETS DEPARTMENT,2024,48
IDLES,TANGK,2024,49
Johnny Blue Skies,Passage du Desir,2024,50
ROSALÍA,LUX,2025,1
Geese,Getting Killed,2025,2
Wednesday,Bleeds,2025,3
CMAT,EURO-COUNTRY,2025,4
FKA twigs,EUSEXUA,2025,5
Clipse,Let God Sort Em Out,2025,6
Bad Bunny,DeBÍ TiRAR MáS FOToS,2025,7
Turnstile,NEVER ENOUGH,2025,8
Oklou,choke enough,2025,9
Hayley Williams,Ego Death At A Bachelorette Party,2025,10
Lily Allen,West End Girl,2025,11
Dijon,Baby,2025,12
Addison Rae,Addison,2025,13
billy woods,GOLLIWOG,2025,14
Pulp,More,2025,15
PinkPantheress,Fancy That,2025,16
Blood Orange,Essex Honey,2025,17
Wet Leg,moisturizer,2025,18
Little Simz,Lotus,2025,19
Nourished By Time,The Passionate Ones,2025,20
Deftones,private music,2025,21
Jim Legxacy,black british music (2025),2025,22
Deafheaven,Lonely People With Power,2025,23
Lady Gaga,MAYHEM,2025,24
Olivia Dean,The Art of Loving,2025,25
Horsegirl,Phonetics On and On,2025,26
Water From Your Eyes,It's A Beautiful Place,2025,27
JADE,THAT'S SHOWBIZ BABY!,2025,28
Big Thief,Double Infinity,2025,29
Viagra Boys,viagr aboys,2025,30
Stereolab,Instant Holograms On Metal Film,2025,31
Sudan Archives,THE BPM,2025,32
Wolf Alice,The Clearing,2025,33
Florence + the Machine,Everybody Scream,2025,34
Ryan Davis & The Roadhouse Band,New Threats From the Soul,2025,35
Anna von Hausswolff,ICONOCLASTS,2025,36
Bon Iver,"SABLE, fABLE",2025,37
Lorde,Virgin,2025,38
Suede,Antidepressants,2025,39
Ethel Cain,"Willoughby Tucker, I'll Always Love You",2025,40
caroline,caroline 2,2025,41
Alex G,Headlights,2025,42
Tyler Childers,Snipe Hunter,2025,43
Earl Sweatshirt,Live Laugh Love,2025,44
Panda Bear,Sinister Grift,2025,45
aya,hexed!,2025,46
Ninajirachi,I Love My Computer,2025,47
Smerz,Big city life,2025,48
Rochelle Jordan,Through The Wall,2025,49
Perfume Genius,Glory,2025,50
